학교코드(KEDI),학교명_20251001,학교점_통학구역포함,학교점_통학구역거리_m
216021388,월평초등학교,True,0.0
216021396,인지초등학교,True,0.0
216021412,장산초등학교,True,0.0
216021424,장안초등학교,True,0.0
216021436,재송초등학교,True,0.0
216021448,정관초등학교,True,0.0
216021460,좌동초등학교,True,0.0
216021472,좌산초등학교,True,0.0
216021484,좌천초등학교,True,0.0
216021496,죽성초등학교,True,0.0
216021508,철마초등학교,True,0.0
216021520,칠암초등학교,True,0.0
216021532,해강초등학교,True,0.0
216021544,해동초등학교,True,0.0
216021547,해림초등학교,True,0.0
216021550,해송초등학교,True,0.0
216021556,해운대초등학교,True,0.0
216021568,호암초등학교,True,0.0
216021569,삼어초등학교,True,0.0
216021570,송수초등학교,True,0.0
216021571,센텀초등학교,True,0.0
216021717,정원초등학교,True,0.0
216021718,달산초등학교,True,0.0
216021880,모전초등학교,True,0.0
