학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,일반학생수_20250401_1학년,일반학급수_20250401_1학년,특수학생수_20250401_1학년,특수학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,일반학생수_20250401_2학년,일반학급수_20250401_2학년,특수학생수_20250401_2학년,특수학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,일반학생수_20250401_3학년,일반학급수_20250401_3학년,특수학생수_20250401_3학년,특수학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,일반학생수_20250401_4학년,일반학급수_20250401_4학년,특수학생수_20250401_4학년,특수학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,일반학생수_20250401_5학년,일반학급수_20250401_5학년,특수학생수_20250401_5학년,특수학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,일반학생수_20250401_6학년,일반학급수_20250401_6학년,특수학생수_20250401_6학년,특수학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,일반학생수_20250401_반합계,일반학급수_20250401_반합계,특수학생수_20250401_반합계,특수학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
216021508,철마초등학교,기장군,공립,면지역,부산광역시 기장군 철마면 철마로 493(철마면. 철마초등학교),83,6,13,13.8,6.4,120,True,True,True,12.0,1.0,12.0,1.0,0.0,0.0,15.0,1.0,15.0,1.0,0.0,0.0,15.0,1.0,15.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,15.0,1.0,15.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,84.0,6.0,84.0,6.0,0.0,0.0,20250401,84,6,6963,82.9,6,0,2,0,4,12,14.0,7.0,13.833333333333334,6.384615384615385
216021520,칠암초등학교,기장군,공립,읍지역,부산광역시 기장군 일광읍 박영준길 19(일광읍. 칠암초등학교),55,7,13,7.9,4.2,120,True,True,True,12.0,2.0,6.0,1.0,6.0,1.0,10.0,1.0,10.0,1.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,9.0,1.0,9.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,59.0,7.0,53.0,6.0,6.0,1.0,20250401,59,7,11329,192.0,8,0,4,0,0,12,7.375,4.916666666666667,7.857142857142857,4.230769230769231
213021190,동항초등학교,남구,공립,특별/광역시,부산광역시 남구 우암로 42(감만동) 동항초등학교,127,9,16,14.1,7.9,240,True,True,True,14.0,1.0,14.0,1.0,0.0,0.0,24.0,2.0,20.0,1.0,4.0,1.0,9.0,1.0,9.0,1.0,0.0,0.0,32.0,2.0,32.0,2.0,0.0,0.0,17.0,1.0,17.0,1.0,0.0,0.0,32.0,2.0,32.0,2.0,0.0,0.0,128.0,9.0,124.0,8.0,4.0,1.0,20250401,128,9,11951,93.4,23,3,12,0,1,39,5.565217391304348,3.282051282051282,14.11111111111111,7.9375
213021089,백운초등학교,남구,공립,특별/광역시,부산광역시 남구 동명로 76(용호동. 백운초등학교),152,11,19,13.8,8.0,240,True,True,True,16.0,1.0,16.0,1.0,0.0,0.0,21.0,2.0,17.0,1.0,4.0,1.0,26.0,2.0,26.0,2.0,0.0,0.0,18.0,1.0,18.0,1.0,0.0,0.0,36.0,3.0,32.0,2.0,4.0,1.0,40.0,2.0,40.0,2.0,0.0,0.0,157.0,11.0,149.0,9.0,8.0,2.0,20250401,157,11,19794,126.1,21,0,8,0,0,29,7.476190476190476,5.413793103448276,13.818181818181818,8.0
213021213,성천초등학교,남구,공립,특별/광역시,부산광역시 남구 장고개로 64-41(우암동),122,10,19,12.2,6.4,240,True,True,True,19.0,1.0,19.0,1.0,0.0,0.0,25.0,2.0,25.0,2.0,0.0,0.0,27.0,2.0,27.0,2.0,0.0,0.0,22.0,2.0,22.0,2.0,0.0,0.0,14.0,2.0,10.0,1.0,4.0,1.0,17.0,1.0,17.0,1.0,0.0,0.0,124.0,10.0,120.0,9.0,4.0,1.0,20250401,124,10,14820,119.5,8,1,4,0,0,13,15.5,9.538461538461538,12.2,6.421052631578948
213021380,용당초등학교,남구,공립,특별/광역시,부산광역시 남구 신선로 341(용당동),86,9,16,9.6,5.4,240,True,True,True,4.0,1.0,4.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,12.0,1.0,12.0,1.0,0.0,0.0,19.0,1.0,19.0,1.0,0.0,0.0,10.0,1.0,10.0,1.0,0.0,0.0,34.0,4.0,25.0,2.0,9.0,2.0,89.0,9.0,80.0,7.0,9.0,2.0,20250401,89,9,6420,72.1,9,3,2,0,0,14,9.88888888888889,6.357142857142857,9.555555555555555,5.375
213021283,범일초등학교,동구,공립,특별/광역시,부산광역시 동구 증산서로 55(범일동. 범일초등학교),181,13,19,13.9,9.5,240,True,True,True,19.0,1.0,19.0,1.0,0.0,0.0,32.0,3.0,28.0,2.0,4.0,1.0,29.0,2.0,29.0,2.0,0.0,0.0,32.0,2.0,32.0,2.0,0.0,0.0,37.0,3.0,32.0,2.0,5.0,1.0,36.0,2.0,36.0,2.0,0.0,0.0,185.0,13.0,176.0,11.0,9.0,2.0,20250401,185,13,5134,27.8,17,3,6,0,6,32,10.882352941176471,5.78125,13.923076923076923,9.526315789473685
213021335,수성초등학교,동구,공립,특별/광역시,부산광역시 동구 망양로 807. 수성초등학교 (수정동. 수성초등학교),124,9,15,13.8,8.3,240,True,True,True,14.0,1.0,14.0,1.0,0.0,0.0,15.0,1.0,15.0,1.0,0.0,0.0,23.0,1.0,23.0,1.0,0.0,0.0,17.0,1.0,17.0,1.0,0.0,0.0,27.0,2.0,27.0,2.0,0.0,0.0,29.0,3.0,26.0,2.0,3.0,1.0,125.0,9.0,122.0,8.0,3.0,1.0,20250401,125,9,8271,66.2,17,2,24,0,0,43,7.352941176470588,2.9069767441860463,13.777777777777779,8.266666666666667
213021058,초량초등학교,동구,공립,특별/광역시,부산광역시 동구 초량상로 49(초량동. 초량초등학교),185,13,21,14.2,8.8,240,True,True,True,13.0,1.0,13.0,1.0,0.0,0.0,25.0,2.0,25.0,2.0,0.0,0.0,33.0,2.0,33.0,2.0,0.0,0.0,30.0,3.0,26.0,2.0,4.0,1.0,57.0,3.0,57.0,3.0,0.0,0.0,31.0,2.0,31.0,2.0,0.0,0.0,189.0,13.0,185.0,12.0,4.0,1.0,20250401,189,13,12511,66.2,16,0,3,0,11,30,11.8125,6.3,14.23076923076923,8.80952380952381
214021217,내산초등학교,동래구,공립,특별/광역시,부산광역시 동래구 중앙대로1335번길 38(온천동. 내산초등학교),215,13,22,16.5,9.8,240,True,True,True,16.0,1.0,16.0,1.0,0.0,0.0,27.0,2.0,27.0,2.0,0.0,0.0,38.0,2.0,38.0,2.0,0.0,0.0,40.0,2.0,40.0,2.0,0.0,0.0,42.0,2.0,42.0,2.0,0.0,0.0,52.0,4.0,38.0,2.0,14.0,2.0,215.0,13.0,201.0,11.0,14.0,2.0,20250401,215,13,8133,37.8,15,2,4,0,0,21,14.333333333333334,10.238095238095237,16.53846153846154,9.772727272727273
214021226,내성초등학교,동래구,공립,특별/광역시,부산광역시 동래구 동래로 173(복천동) 내성초등학교,107,9,17,11.9,6.3,240,True,True,True,10.0,1.0,10.0,1.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0,14.0,1.0,14.0,1.0,0.0,0.0,25.0,2.0,20.0,1.0,5.0,1.0,19.0,1.0,19.0,1.0,0.0,0.0,31.0,3.0,26.0,2.0,5.0,1.0,110.0,9.0,100.0,7.0,10.0,2.0,20250401,110,9,15273,138.8,25,4,20,0,4,53,4.4,2.0754716981132075,11.88888888888889,6.294117647058823
214021289,명서초등학교,동래구,공립,특별/광역시,부산광역시 동래구 명서로 121. 명서초등학교(명장동),94,7,13,13.4,7.2,240,True,True,True,11.0,1.0,11.0,1.0,0.0,0.0,17.0,2.0,11.0,1.0,6.0,1.0,12.0,1.0,12.0,1.0,0.0,0.0,13.0,1.0,13.0,1.0,0.0,0.0,25.0,1.0,25.0,1.0,0.0,0.0,17.0,1.0,17.0,1.0,0.0,0.0,95.0,7.0,89.0,6.0,6.0,1.0,20250401,95,7,7423,78.1,7,3,6,0,0,16,13.571428571428571,5.9375,13.428571428571429,7.230769230769231
214021361,수안초등학교,동래구,공립,특별/광역시,부산광역시 동래구 온천천로 215(수안동. 수안초등학교),166,12,16,13.8,10.4,240,True,True,True,10.0,1.0,10.0,1.0,0.0,0.0,26.0,2.0,26.0,2.0,0.0,0.0,32.0,3.0,26.0,2.0,6.0,1.0,33.0,2.0,33.0,2.0,0.0,0.0,36.0,2.0,36.0,2.0,0.0,0.0,30.0,2.0,30.0,2.0,0.0,0.0,167.0,12.0,161.0,11.0,6.0,1.0,20250401,167,12,4451,26.7,12,2,2,0,1,17,13.916666666666666,9.823529411764707,13.833333333333334,10.375
214021379,안락초등학교,동래구,공립,특별/광역시,부산광역시 동래구 명안로53번길 22(명장동. 안락초등학교),187,12,21,15.6,8.9,240,True,True,True,24.0,2.0,24.0,2.0,0.0,0.0,21.0,1.0,21.0,1.0,0.0,0.0,34.0,2.0,34.0,2.0,0.0,0.0,34.0,2.0,34.0,2.0,0.0,0.0,31.0,2.0,31.0,2.0,0.0,0.0,41.0,3.0,35.0,2.0,6.0,1.0,185.0,12.0,179.0,11.0,6.0,1.0,20250401,185,12,9896,53.5,17,3,3,0,1,24,10.882352941176471,7.708333333333333,15.583333333333334,8.904761904761905
214021514,충렬초등학교,동래구,공립,특별/광역시,부산광역시 동래구 안락로125번길 22(안락동. 충렬초등학교),94,7,13,13.4,7.2,240,True,True,True,8.0,1.0,8.0,1.0,0.0,0.0,16.0,2.0,12.0,1.0,4.0,1.0,16.0,1.0,16.0,1.0,0.0,0.0,19.0,1.0,19.0,1.0,0.0,0.0,24.0,1.0,24.0,1.0,0.0,0.0,18.0,1.0,18.0,1.0,0.0,0.0,101.0,7.0,97.0,6.0,4.0,1.0,20250401,101,7,10168,100.7,7,2,4,0,4,17,14.428571428571429,5.9411764705882355,13.428571428571429,7.230769230769231
213021106,가남초등학교,부산진구,공립,특별/광역시,부산광역시 부산진구 엄광로 325(가야동),53,7,13,7.6,4.1,240,True,True,True,5.0,1.0,5.0,1.0,0.0,0.0,7.0,1.0,7.0,1.0,0.0,0.0,15.0,2.0,11.0,1.0,4.0,1.0,13.0,1.0,13.0,1.0,0.0,0.0,8.0,1.0,8.0,1.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0,54.0,7.0,50.0,6.0,4.0,1.0,20250401,54,7,2747,50.9,7,0,5,0,4,16,7.714285714285714,3.375,7.571428571428571,4.076923076923077
213021148,개포초등학교,부산진구,공립,특별/광역시,부산광역시 부산진구 백양대로208번길 9(개금동.개포초등학교),222,14,23,15.9,9.7,240,True,True,True,27.0,2.0,27.0,2.0,0.0,0.0,30.0,2.0,30.0,2.0,0.0,0.0,40.0,2.0,40.0,2.0,0.0,0.0,52.0,3.0,46.0,2.0,6.0,1.0,49.0,3.0,49.0,3.0,0.0,0.0,32.0,2.0,32.0,2.0,0.0,0.0,230.0,14.0,224.0,13.0,6.0,1.0,20250401,230,14,10556,45.9,17,3,9,0,9,38,13.529411764705882,6.052631578947368,15.857142857142858,9.652173913043478
