학교코드(KEDI),학교명_20251001,행정구_20251001,설립_20251001,지역규모_20251001,주소_20251001,학생수_20251001,학급수_20251001,교원수_20251001,학급당학생수_20251001_공시,교원1인당학생수_20251001_공시,부산교육청_기준학생수_정책2026,학생수기준_충족_정책2026,정책적용대상_공립_정책2026,주분석대상_소규모공립_정책2026,학생수_20250401_1학년,학급수_20250401_1학년,학생수_20250401_2학년,학급수_20250401_2학년,학생수_20250401_3학년,학급수_20250401_3학년,학생수_20250401_4학년,학급수_20250401_4학년,학생수_20250401_5학년,학급수_20250401_5학년,학생수_20250401_6학년,학급수_20250401_6학년,학생수_20250401_반합계,학급수_20250401_반합계,조사기준일_데이터3,학생수_20250401_학교총계,학급수_20250401_학교총계,교지면적_20250401,학생1인당교지면적_20250401_공시,일반교실수_20250401,교과교실수_20250401,특별교실수_20250401,수준별교실수_20250401,기타교실수_20250401,전체교실수_20250401,학생수_일반교실_20250401,학생수_전체교실_20250401,학급당학생수_20251001_계산,교원1인당학생수_20251001_계산
214021487,장전초등학교,금정구,공립,특별/광역시,부산광역시 금정구 수림로 90(장전동. 장전초등학교),428,22,33,19.5,13.0,240,False,True,False,47.0,3.0,49.0,2.0,70.0,3.0,97.0,5.0,70.0,4.0,93.0,5.0,426.0,22.0,20250401,426,22,12508,29.4,30,3,6,0,15,54,14.2,7.888888888888889,19.454545454545453,12.969696969696969
214021505,청룡초등학교,금정구,공립,특별/광역시,부산광역시 금정구 팔송로 6(청룡동. 청룡초등학교),389,21,35,18.5,11.1,240,False,True,False,39.0,2.0,52.0,3.0,60.0,4.0,75.0,3.0,74.0,4.0,87.0,5.0,387.0,21.0,20250401,387,21,12174,31.5,24,2,6,0,0,32,16.125,12.09375,18.523809523809526,11.114285714285714
214021532,현곡초등학교,금정구,공립,특별/광역시,부산광역시 금정구 동부곡로27번라길 20(부곡동. 현곡초등학교),86,7,13,12.3,6.6,240,True,True,True,14.0,2.0,10.0,1.0,13.0,1.0,20.0,1.0,14.0,1.0,15.0,1.0,86.0,7.0,20250401,86,7,14551,169.2,7,1,2,0,1,11,12.285714285714286,7.818181818181818,12.285714285714286,6.615384615384615
216021131,가동초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관5로 100(정관읍),918,41,64,22.4,14.3,120,False,True,False,116.0,6.0,128.0,5.0,137.0,6.0,164.0,7.0,189.0,8.0,187.0,9.0,921.0,41.0,20250401,921,41,13790,15.0,39,1,7,0,4,51,23.615384615384617,18.058823529411764,22.390243902439025,14.34375
216021216,교리초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 차성로 427.교리초등학교(기장읍. 교리초등학교),529,25,44,21.2,12.0,120,False,True,False,67.0,3.0,82.0,4.0,94.0,4.0,86.0,4.0,113.0,6.0,90.0,4.0,532.0,25.0,20250401,532,25,13350,25.1,35,0,10,0,6,51,15.2,10.431372549019608,21.16,12.022727272727273
216021148,기장초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 읍내로 69(기장읍. 기장초등학교),460,23,35,20.0,13.1,120,False,True,False,63.0,3.0,63.0,3.0,85.0,5.0,79.0,4.0,71.0,3.0,93.0,5.0,454.0,23.0,20250401,454,23,18863,41.5,34,4,11,0,2,51,13.352941176470589,8.901960784313726,20.0,13.142857142857142
216021241,내리초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 소정안길 50(기장읍.내리초등학교),124,10,19,12.4,6.5,120,False,True,False,18.0,1.0,20.0,1.0,27.0,2.0,23.0,2.0,28.0,3.0,14.0,1.0,130.0,10.0,20250401,130,10,10771,82.9,10,0,4,0,8,22,13.0,5.909090909090909,12.4,6.526315789473684
216021718,달산초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관로 674. 달산초등학교 (정관읍),547,26,44,21.0,12.4,120,False,True,False,59.0,3.0,84.0,4.0,99.0,5.0,108.0,5.0,105.0,4.0,103.0,5.0,558.0,26.0,20250401,558,26,13636,24.4,28,0,2,0,0,30,19.928571428571427,18.6,21.03846153846154,12.431818181818182
216021178,대청초등학교,기장군,공립,읍지역,부산광역시 기장군 기장읍 차성서로 31대청초등학교,472,23,35,20.5,13.5,120,False,True,False,78.0,4.0,71.0,4.0,79.0,4.0,77.0,3.0,79.0,4.0,85.0,4.0,469.0,23.0,20250401,469,23,13207,28.2,26,3,12,0,7,48,18.03846153846154,9.770833333333334,20.52173913043478,13.485714285714286
216021880,모전초등학교,기장군,공립,읍지역,부산광역시 기장군 정관읍 정관1로 17. 모전초등학교 (정관읍),1466,60,86,24.4,17.0,120,False,True,False,172.0,7.0,197.0,8.0,269.0,11.0,270.0,11.0,294.0,12.0,270.0,11.0,1472.0,60.0,20250401,1472,60,16949,11.5,60,4,3,0,0,67,24.533333333333335,21.970149253731343,24.433333333333334,17.046511627906977
