소규모학교_KEDI,소규모학교명,소규모학교_행정구,소규모학교_학생수_20251001,후보학교_KEDI,후보학교명,후보학교_행정구,후보학교_학생수_20251001,후보학교_학급당학생수_20251001,후보학교_소규모여부_정책2026,학교간직선거리_km,후보생성기준,거리순위_3km내
214021253,동상초등학교,금정구,100,216021232,반산초등학교,해운대구,291,15.31578947368421,False,2.863494,학교점 간 직선거리 3km 이하,34
214021253,동상초등학교,금정구,100,214021470,연서초등학교,연제구,591,19.7,False,2.921915,학교점 간 직선거리 3km 이하,35
214021024,서동초등학교,금정구,62,214021352,서명초등학교,금정구,36,5.142857142857143,True,0.483798,학교점 간 직선거리 3km 이하,1
214021024,서동초등학교,금정구,62,214021262,동현초등학교,금정구,289,18.0625,False,0.495127,학교점 간 직선거리 3km 이하,2
214021024,서동초등학교,금정구,62,214021145,교동초등학교,동래구,862,23.2972972972973,False,0.59018,학교점 간 직선거리 3km 이하,3
214021024,서동초등학교,금정구,62,214021289,명서초등학교,동래구,94,13.428571428571429,True,0.861772,학교점 간 직선거리 3km 이하,4
214021024,서동초등학교,금정구,62,214021532,현곡초등학교,금정구,86,12.285714285714286,True,0.866099,학교점 간 직선거리 3km 이하,5
214021024,서동초등학교,금정구,62,214021172,금사초등학교,금정구,268,16.75,False,1.154421,학교점 간 직선거리 3km 이하,6
214021024,서동초등학교,금정구,62,214021298,명장초등학교,동래구,339,18.833333333333332,False,1.212826,학교점 간 직선거리 3km 이하,7
214021024,서동초등학교,금정구,62,214021253,동상초등학교,금정구,100,14.285714285714286,True,1.262305,학교점 간 직선거리 3km 이하,8
214021024,서동초등학교,금정구,62,214021190,금정초등학교,금정구,1298,24.037037037037038,False,1.473111,학교점 간 직선거리 3km 이하,9
214021024,서동초등학교,금정구,62,214021271,명동초등학교,동래구,454,19.73913043478261,False,1.536223,학교점 간 직선거리 3km 이하,10
214021024,서동초등학교,금정구,62,214021316,부곡초등학교,금정구,445,21.19047619047619,False,1.69725,학교점 간 직선거리 3km 이하,11
214021024,서동초등학교,금정구,62,214021226,내성초등학교,동래구,107,11.88888888888889,True,1.733974,학교점 간 직선거리 3km 이하,12
214021024,서동초등학교,금정구,62,214021280,명륜초등학교,동래구,1110,25.227272727272727,False,1.746302,학교점 간 직선거리 3km 이하,13
214021024,서동초등학교,금정구,62,214021180,금빛초등학교,금정구,693,21.65625,False,1.797743,학교점 간 직선거리 3km 이하,14
214021024,서동초등학교,금정구,62,214021379,안락초등학교,동래구,187,15.583333333333334,True,1.972467,학교점 간 직선거리 3km 이하,15
214021024,서동초등학교,금정구,62,216021569,삼어초등학교,해운대구,272,17.0,False,2.079485,학교점 간 직선거리 3km 이하,16
214021024,서동초등학교,금정구,62,214021469,온천초등학교,동래구,1064,23.130434782608695,False,2.235483,학교점 간 직선거리 3km 이하,17
214021024,서동초등학교,금정구,62,214021217,내산초등학교,동래구,215,16.53846153846154,True,2.259172,학교점 간 직선거리 3km 이하,18
214021024,서동초등학교,금정구,62,214021199,낙민초등학교,동래구,589,21.035714285714285,False,2.319568,학교점 간 직선거리 3km 이하,19
214021024,서동초등학교,금정구,62,216021021,반안초등학교,해운대구,516,20.64,False,2.333113,학교점 간 직선거리 3km 이하,20
214021024,서동초등학교,금정구,62,214021514,충렬초등학교,동래구,94,13.428571428571429,True,2.475726,학교점 간 직선거리 3km 이하,21
214021024,서동초등학교,금정구,62,214021195,금양초등학교,금정구,658,19.939393939393938,False,2.495048,학교점 간 직선거리 3km 이하,22
214021024,서동초등학교,금정구,62,214021361,수안초등학교,동래구,166,13.833333333333334,True,2.554494,학교점 간 직선거리 3km 이하,23
214021024,서동초등학교,금정구,62,216021238,반석초등학교,해운대구,62,8.857142857142858,True,2.699035,학교점 간 직선거리 3km 이하,24
214021024,서동초등학교,금정구,62,214021542,안진초등학교,동래구,394,21.88888888888889,False,2.712794,학교점 간 직선거리 3km 이하,25
214021024,서동초등학교,금정구,62,214021214,미남초등학교,동래구,266,17.733333333333334,False,2.780056,학교점 간 직선거리 3km 이하,26
214021024,서동초등학교,금정구,62,214021619,온샘초등학교,동래구,1380,24.210526315789473,False,2.782891,학교점 간 직선거리 3km 이하,27
214021024,서동초등학교,금정구,62,214021487,장전초등학교,금정구,428,19.454545454545453,False,2.785445,학교점 간 직선거리 3km 이하,28
214021024,서동초등학교,금정구,62,214021384,안민초등학교,동래구,615,21.964285714285715,False,2.798478,학교점 간 직선거리 3km 이하,29
214021024,서동초등학교,금정구,62,216021412,장산초등학교,해운대구,701,22.612903225806452,False,2.963934,학교점 간 직선거리 3km 이하,30
214021024,서동초등학교,금정구,62,214021471,연신초등학교,연제구,578,20.642857142857142,False,2.97534,학교점 간 직선거리 3km 이하,31
214021352,서명초등학교,금정구,36,214021145,교동초등학교,동래구,862,23.2972972972973,False,0.226209,학교점 간 직선거리 3km 이하,1
214021352,서명초등학교,금정구,36,214021024,서동초등학교,금정구,62,8.857142857142858,True,0.483798,학교점 간 직선거리 3km 이하,2
214021352,서명초등학교,금정구,36,214021289,명서초등학교,동래구,94,13.428571428571429,True,0.664047,학교점 간 직선거리 3km 이하,3
214021352,서명초등학교,금정구,36,214021262,동현초등학교,금정구,289,18.0625,False,0.780098,학교점 간 직선거리 3km 이하,4
214021352,서명초등학교,금정구,36,214021298,명장초등학교,동래구,339,18.833333333333332,False,0.793733,학교점 간 직선거리 3km 이하,5
214021352,서명초등학교,금정구,36,214021253,동상초등학교,금정구,100,14.285714285714286,True,1.201153,학교점 간 직선거리 3km 이하,6
214021352,서명초등학교,금정구,36,214021226,내성초등학교,동래구,107,11.88888888888889,True,1.251197,학교점 간 직선거리 3km 이하,7
214021352,서명초등학교,금정구,36,214021280,명륜초등학교,동래구,1110,25.227272727272727,False,1.30304,학교점 간 직선거리 3km 이하,8
214021352,서명초등학교,금정구,36,214021532,현곡초등학교,금정구,86,12.285714285714286,True,1.318485,학교점 간 직선거리 3km 이하,9
214021352,서명초등학교,금정구,36,214021271,명동초등학교,동래구,454,19.73913043478261,False,1.349542,학교점 간 직선거리 3km 이하,10
214021352,서명초등학교,금정구,36,214021172,금사초등학교,금정구,268,16.75,False,1.421522,학교점 간 직선거리 3km 이하,11
214021352,서명초등학교,금정구,36,214021379,안락초등학교,동래구,187,15.583333333333334,True,1.642853,학교점 간 직선거리 3km 이하,12
214021352,서명초등학교,금정구,36,214021190,금정초등학교,금정구,1298,24.037037037037038,False,1.680723,학교점 간 직선거리 3km 이하,13
214021352,서명초등학교,금정구,36,214021199,낙민초등학교,동래구,589,21.035714285714285,False,1.838518,학교점 간 직선거리 3km 이하,14
214021352,서명초등학교,금정구,36,214021217,내산초등학교,동래구,215,16.53846153846154,True,1.854455,학교점 간 직선거리 3km 이하,15
214021352,서명초등학교,금정구,36,214021180,금빛초등학교,금정구,693,21.65625,False,1.926801,학교점 간 직선거리 3km 이하,16
214021352,서명초등학교,금정구,36,214021469,온천초등학교,동래구,1064,23.130434782608695,False,1.930808,학교점 간 직선거리 3km 이하,17
214021352,서명초등학교,금정구,36,216021569,삼어초등학교,해운대구,272,17.0,False,2.062145,학교점 간 직선거리 3km 이하,18
